# V2 structural parameter provenance and uncertainty envelope.
# PARAM,name,baseline,unit,kind,source_id,vintage,lower_bound,upper_bound,distribution,relative_sigma,sampled,notes
META,registry_id,v2-structural-quarterly-2026-08-12
META,as_of,2026-08-12
PARAM,neutral_rate,2.75,percent,official_assessment,boc_neutral_rate_2026,2026-05,2.25,3.25,normal,0.08,true,"Direct Bank of Canada 2026 nominal-neutral-rate assessment. Baseline is the published range midpoint; bounds are the published assessment range, not a statistical confidence interval."
PARAM,inflation_target,2.0,percent,mandate,bank_of_canada_target,2026-08-11,2.0,2.0,fixed,0,false,"Policy mandate; never sampled as a structural uncertainty parameter."
PARAM,rate_inflation_response,0.75,coefficient,assumed,internal_model_design_v2,2026-08-11,0.50,1.50,normal,0.15,true,"Reaction-function inflation response; bounded sensitivity range."
PARAM,rate_output_response,0.25,coefficient,assumed,internal_model_design_v2,2026-08-11,0.10,0.50,normal,0.15,true,"Reaction-function output-gap response; bounded sensitivity range."
PARAM,max_quarterly_rate_step,0.25,percentage_points,assumed,internal_model_design_v2,2026-08-11,0.125,0.50,normal,0.15,true,"Quarterly policy-adjustment speed."
PARAM,output_persistence,0.8802835399,coefficient,empirical_estimate,boc_sep_quarterly_estimation,2001Q1-2019Q4,0.7743734997,0.98,normal,0.061386,true,"Direct production-form OLS estimate from 75 consecutive real-time Bank staff vintages; 95% interval bounded below unity."
PARAM,fiscal_demand_multiplier,0.36,coefficient,assumed,internal_model_design_v2,2026-08-11,0.20,0.60,lognormal,0.15,true,"Short-run fiscal demand effect; sensitivity envelope."
PARAM,real_rate_demand_sensitivity,0.18,coefficient,assumed,internal_model_design_v2,2026-08-11,0.10,0.30,lognormal,0.15,true,"Demand response to policy rate relative to neutral."
PARAM,productive_supply_multiplier,0.22,coefficient,assumed,internal_model_design_v2,2026-08-11,0.10,0.40,lognormal,0.20,true,"Supply effect of productive fiscal investment."
PARAM,global_growth_sensitivity,0.08,coefficient,assumed,internal_model_design_v2,2026-08-11,0.03,0.15,lognormal,0.20,true,"Canadian output-gap response to global growth."
PARAM,inflation_persistence,0.7371310581,coefficient,empirical_estimate,boc_sep_quarterly_estimation,2001Q1-2019Q4,0.5832242288,0.8910378873,normal,0.106527,true,"Direct production-form centered-inflation OLS estimate from 75 consecutive real-time Bank staff vintages."
PARAM,inflation_expectations_weight,0.2628689419,coefficient,derived,boc_sep_quarterly_estimation,2001Q1-2019Q4,0.1089621127,0.4167757712,derived,0,false,"Derived as one minus the directly estimated inflation persistence; not sampled independently."
PARAM,phillips_curve_slope,0.12,coefficient,assumed,internal_model_design_v2,2026-08-11,0.05,0.25,lognormal,0.20,true,"Inflation response to output gap."
PARAM,fx_pass_through,0.35,coefficient,assumed,internal_model_design_v2,2026-08-11,0.15,0.55,lognormal,0.20,true,"Exchange-rate pass-through sensitivity."
PARAM,import_price_pass_through,0.022,coefficient,assumed,internal_model_design_v2,2026-08-11,0.010,0.050,lognormal,0.25,true,"Tariff/import-price pass-through into inflation."
PARAM,oil_inflation_sensitivity,0.018,coefficient,assumed,internal_model_design_v2,2026-08-11,0.005,0.040,lognormal,0.25,true,"Oil-price contribution to inflation dynamics."
PARAM,canada_trade_drag_scale,1.0,multiplier,assumed,internal_model_design_v2,2026-08-11,0.60,1.40,normal,0.15,true,"Scale on tariff/export drag in Canada."
PARAM,us_retaliation_drag_scale,1.0,multiplier,assumed,internal_model_design_v2,2026-08-11,0.60,1.40,normal,0.15,true,"Scale on Canadian-retaliation drag in the U.S. channel."
PARAM,tariff_revenue_elasticity_scale,1.0,multiplier,assumed,internal_model_design_v2,2026-08-11,0.80,1.20,normal,0.08,true,"Sensitivity of tariff-ledger trade response relative to the macro trade elasticity."
PARAM,output_shock_sd,0.16,percentage_points,calibrated,internal_model_design_v2,2026-08-11,0.08,0.32,lognormal,0.15,true,"Quarterly output-gap innovation scale; provisional until historical residual calibration."
PARAM,inflation_shock_sd,0.11,percentage_points,calibrated,internal_model_design_v2,2026-08-11,0.055,0.22,lognormal,0.15,true,"Quarterly inflation innovation scale; provisional until historical residual calibration."
PARAM,growth_shock_sd,0.25,percentage_points,calibrated,internal_model_design_v2,2026-08-11,0.125,0.50,lognormal,0.15,true,"Canadian growth innovation scale; provisional."
PARAM,us_growth_shock_sd,0.18,percentage_points,calibrated,internal_model_design_v2,2026-08-11,0.09,0.36,lognormal,0.15,true,"U.S. growth innovation scale; provisional."
PARAM,export_shock_sd,0.35,percentage_points,calibrated,internal_model_design_v2,2026-08-11,0.175,0.70,lognormal,0.15,true,"Canadian export innovation scale; provisional."
PARAM,us_export_shock_sd,0.30,percentage_points,calibrated,internal_model_design_v2,2026-08-11,0.15,0.60,lognormal,0.15,true,"U.S. export innovation scale; provisional."
